supplier,amount,department,account,cost_center,project_id,personnel,reference,tax_persentage,city,created_at,Test_category
supplier3,409312,department0,2,CC2,P2,EMP8,REF5,10,Norrkoping,2022/07/11 17:24:00,Test_category0
supplier7,992928,department8,9,CC5,P4,EMP2,REF1,20,Malmo,2022/02/06 08:05:10,Test_category3
supplier8,610510,department10,10,CC1,P4,EMP0,REF6,20,Lulea,2016/06/02 15:13:40,Test_category4
supplier8,441304,department9,0,CC1,P9,EMP9,REF4,0,Malmo,2020/05/19 09:57:29,Test_category10
supplier6,453341,department1,4,CC5,P1,EMP9,REF7,0,Norrkoping,2021/09/14 12:58:34,Test_category8
supplier7,910875,department9,4,CC7,P8,EMP8,REF3,25,Skovde,2019/02/15 15:58:30,Test_category8
supplier1,257243,department3,10,CC1,P1,EMP8,REF6,10,Malmo,2023/09/29 12:45:21,Test_category2
supplier0,924947,department2,1,CC3,P1,EMP3,REF2,0,Lindkoping,2024/12/20 15:53:11,Test_category4
supplier4,449500,department4,6,CC4,P0,EMP1,REF8,10,Sundsvall,2021/10/22 15:16:42,Test_category3
supplier9,659376,department8,0,CC5,P9,EMP2,REF8,25,Sundsvall,2016/02/15 12:37:53,Test_category8
supplier10,235142,department9,6,CC10,P10,EMP2,REF7,25,Uppsala,2020/01/20 12:49:09,Test_category1
supplier9,937687,department2,3,CC5,P2,EMP4,REF8,0,Malmo,2020/11/06 11:13:11,Test_category5
supplier2,180021,department2,4,CC1,P3,EMP1,REF8,25,Stockholm,2021/12/12 10:12:20,Test_category9
supplier5,548727,department2,4,CC3,P5,EMP6,REF5,20,Vaxjo,2022/04/20 12:39:13,Test_category9
supplier2,570698,department1,0,CC4,P4,EMP10,REF6,10,Norrkoping,2017/02/28 10:54:03,Test_category2
supplier7,639633,department4,6,CC8,P5,EMP8,REF7,20,Uppsala,2016/11/01 15:22:47,Test_category6
supplier4,421181,department8,10,CC5,P4,EMP6,REF3,25,Sundsvall,2015/08/25 11:32:02,Test_category1
supplier8,662341,department0,2,CC3,P8,EMP1,REF1,20,Skovde,2024/07/28 10:05:14,Test_category8
supplier9,930298,department1,0,CC1,P0,EMP2,REF1,0,Lulea,2016/01/25 16:38:50,Test_category9
supplier10,763665,department7,5,CC8,P5,EMP0,REF0,20,Lindkoping,2018/01/29 08:17:12,Test_category1
supplier8,874671,department5,5,CC9,P7,EMP5,REF4,20,Malmo,2023/11/17 14:58:32,Test_category0
supplier3,2988,department5,9,CC5,P10,EMP7,REF5,10,Norrkoping,2018/07/09 11:05:16,Test_category8
supplier0,556611,department10,7,CC7,P7,EMP1,REF7,20,Lulea,2024/05/06 11:37:26,Test_category3
supplier5,7189,department10,8,CC8,P10,EMP9,REF10,20,Gothenburg,2020/11/11 09:47:29,Test_category0
supplier0,528776,department5,9,CC7,P10,EMP1,REF1,25,Gothenburg,2017/11/16 14:43:58,Test_category2
supplier9,798359,department8,2,CC8,P5,EMP10,REF9,10,Malmo,2020/12/04 13:08:41,Test_category10
supplier6,311958,department6,6,CC4,P7,EMP5,REF6,10,Stockholm,2024/07/14 15:34:54,Test_category1
supplier5,926473,department4,9,CC2,P3,EMP7,REF10,25,Skovde,2017/06/09 11:58:00,Test_category3
supplier1,118688,department9,4,CC7,P7,EMP9,REF6,25,Uppsala,2017/02/17 10:45:56,Test_category7
supplier4,68350,department6,2,CC8,P0,EMP1,REF9,20,Sundsvall,2019/04/29 15:14:32,Test_category5
supplier3,403568,department1,2,CC5,P9,EMP5,REF6,20,Skovde,2018/12/16 14:29:16,Test_category2
supplier1,175536,department8,4,CC3,P10,EMP7,REF8,0,Vaxjo,2019/04/08 11:03:38,Test_category10
supplier10,958360,department1,2,CC2,P0,EMP8,REF9,25,Uppsala,2020/08/06 16:36:36,Test_category8
supplier3,74124,department0,8,CC3,P3,EMP7,REF6,0,Vaxjo,2021/01/05 13:19:07,Test_category7
supplier8,692602,department5,8,CC5,P10,EMP7,REF1,0,Stockholm,2021/12/22 12:28:43,Test_category5
supplier7,995169,department7,3,CC7,P5,EMP7,REF0,25,Skovde,2015/04/04 11:24:51,Test_category5
supplier1,492728,department7,5,CC2,P2,EMP6,REF7,10,Norrkoping,2021/09/24 16:31:30,Test_category8
supplier2,806269,department4,10,CC2,P9,EMP9,REF9,0,Norrkoping,2021/05/24 14:17:59,Test_category6
supplier5,749033,department4,5,CC9,P2,EMP8,REF5,0,Stockholm,2024/05/30 15:17:02,Test_category5
supplier0,745655,department3,3,CC7,P0,EMP1,REF0,25,Norrkoping,2021/07/22 17:33:51,Test_category8
supplier0,885558,department2,8,CC2,P5,EMP6,REF1,20,Stockholm,2020/06/10 09:48:05,Test_category2
supplier7,952766,department8,2,CC3,P4,EMP4,REF7,0,Skovde,2021/07/31 12:07:03,Test_category7
supplier8,289939,department8,7,CC1,P0,EMP0,REF10,10,Uppsala,2022/12/04 14:04:03,Test_category6
supplier9,481243,department1,0,CC10,P6,EMP1,REF9,10,Sundsvall,2024/04/02 09:44:35,Test_category0
supplier4,236694,department7,1,CC4,P0,EMP5,REF4,10,Vaxjo,2019/02/15 14:35:29,Test_category6
supplier6,553329,department3,0,CC9,P1,EMP1,REF9,20,Uppsala,2015/11/16 15:32:03,Test_category4
supplier7,507435,department1,0,CC3,P1,EMP8,REF3,0,Norrkoping,2015/11/08 16:15:48,Test_category4
supplier7,32202,department6,9,CC4,P9,EMP4,REF1,0,Lulea,2018/09/21 11:25:39,Test_category3
supplier8,364794,department3,1,CC8,P10,EMP5,REF10,0,Stockholm,2020/05/15 08:24:28,Test_category1
supplier5,579455,department8,10,CC2,P5,EMP3,REF0,25,Skovde,2016/01/31 12:10:00,Test_category6
supplier5,567532,department4,5,CC7,P5,EMP8,REF9,0,Norrkoping,2016/07/02 11:28:46,Test_category10
supplier4,362703,department4,6,CC3,P8,EMP3,REF5,10,Norrkoping,2018/03/18 12:24:39,Test_category4
supplier5,46133,department10,7,CC4,P0,EMP7,REF1,10,Lulea,2017/07/17 14:10:48,Test_category10
supplier9,543166,department4,3,CC4,P6,EMP8,REF6,20,Stockholm,2019/09/08 14:23:49,Test_category8
supplier0,556831,department7,1,CC4,P2,EMP7,REF0,10,Norrkoping,2021/05/10 17:58:03,Test_category0
supplier5,266060,department6,7,CC7,P3,EMP7,REF0,0,Vaxjo,2024/02/05 14:56:47,Test_category3
supplier7,321911,department0,0,CC10,P4,EMP7,REF7,20,Stockholm,2024/10/20 12:13:58,Test_category4
supplier4,201521,department0,6,CC6,P4,EMP2,REF10,25,Stockholm,2016/07/15 11:04:27,Test_category6
supplier0,200839,department8,3,CC1,P9,EMP9,REF10,20,Norrkoping,2023/03/26 12:03:37,Test_category2
supplier4,79618,department2,5,CC0,P9,EMP2,REF7,10,Lulea,2023/03/13 13:43:11,Test_category2
supplier0,974956,department2,10,CC1,P2,EMP8,REF10,25,Gothenburg,2015/09/06 11:45:16,Test_category2
supplier10,85225,department10,5,CC2,P1,EMP4,REF8,25,Stockholm,2024/01/14 10:25:55,Test_category7
supplier0,797072,department10,7,CC5,P10,EMP9,REF8,10,Gothenburg,2015/03/08 16:53:35,Test_category10
supplier10,974639,department9,9,CC2,P8,EMP0,REF7,10,Malmo,2018/05/10 16:21:10,Test_category5
supplier7,817785,department5,0,CC3,P9,EMP0,REF4,0,Lulea,2022/12/20 10:46:40,Test_category9
supplier3,345107,department10,1,CC0,P5,EMP3,REF9,25,Sundsvall,2017/06/02 11:59:46,Test_category2
supplier5,124940,department4,7,CC9,P6,EMP8,REF10,0,Stockholm,2019/06/16 14:14:13,Test_category5
supplier9,103625,department0,10,CC6,P0,EMP9,REF5,0,Vaxjo,2016/04/05 16:26:00,Test_category8
supplier4,735421,department10,8,CC4,P7,EMP0,REF10,20,Sundsvall,2023/06/09 17:36:14,Test_category1
supplier0,279528,department6,3,CC10,P6,EMP3,REF8,0,Sundsvall,2018/05/01 11:37:23,Test_category5
supplier10,3593,department0,0,CC7,P0,EMP0,REF10,25,Vaxjo,2015/07/08 16:00:37,Test_category1
supplier8,759653,department9,3,CC8,P9,EMP3,REF9,10,Lulea,2018/02/02 11:27:33,Test_category4
supplier6,756542,department3,2,CC7,P5,EMP10,REF4,10,Lulea,2024/10/04 12:25:44,Test_category7
supplier6,423877,department0,4,CC0,P10,EMP1,REF0,0,Norrkoping,2020/06/06 12:41:05,Test_category3
supplier4,361397,department8,3,CC5,P2,EMP9,REF2,10,Stockholm,2018/09/28 11:49:27,Test_category4
supplier2,73949,department4,4,CC4,P0,EMP7,REF2,0,Skovde,2023/11/27 09:32:11,Test_category4
supplier3,668489,department0,3,CC6,P3,EMP6,REF1,25,Lindkoping,2023/12/21 13:46:34,Test_category9
supplier6,351257,department9,5,CC1,P0,EMP1,REF10,10,Norrkoping,2021/05/02 17:58:49,Test_category0
supplier10,911348,department4,3,CC1,P0,EMP1,REF10,20,Sundsvall,2022/03/14 16:24:41,Test_category10
supplier9,174144,department6,2,CC9,P9,EMP10,REF6,0,Malmo,2023/12/22 11:22:36,Test_category8
supplier3,113772,department3,4,CC6,P5,EMP1,REF6,20,Lindkoping,2023/11/15 12:13:52,Test_category7
supplier10,337917,department4,7,CC0,P4,EMP2,REF5,0,Malmo,2021/06/22 14:18:43,Test_category10
supplier10,943679,department6,1,CC8,P2,EMP8,REF9,10,Gothenburg,2020/01/07 15:15:17,Test_category4
supplier0,719266,department2,10,CC6,P8,EMP8,REF0,20,Gothenburg,2016/02/25 15:02:15,Test_category9
supplier7,755092,department2,3,CC7,P2,EMP6,REF6,20,Vaxjo,2021/01/25 16:17:52,Test_category3
supplier3,899537,department6,1,CC10,P3,EMP2,REF0,20,Lulea,2019/01/08 14:38:18,Test_category9
supplier4,975926,department3,0,CC7,P5,EMP5,REF1,25,Lulea,2022/01/25 10:35:06,Test_category5
supplier5,57467,department0,9,CC1,P4,EMP4,REF5,20,Gothenburg,2020/11/07 17:09:50,Test_category1
supplier5,463847,department4,4,CC0,P4,EMP8,REF9,25,Vaxjo,2024/03/17 12:51:05,Test_category1
supplier10,911485,department4,1,CC2,P0,EMP4,REF9,0,Malmo,2018/03/04 12:53:44,Test_category2
supplier4,515787,department0,0,CC2,P8,EMP6,REF3,25,Vaxjo,2024/12/10 11:54:15,Test_category8
supplier4,491860,department4,0,CC0,P5,EMP8,REF1,20,Norrkoping,2023/09/14 14:04:34,Test_category8
supplier10,254823,department4,8,CC1,P7,EMP3,REF0,25,Malmo,2018/12/25 16:08:52,Test_category1
supplier2,436734,department8,2,CC0,P2,EMP4,REF6,25,Uppsala,2017/09/27 13:48:04,Test_category6
supplier9,766281,department10,5,CC2,P4,EMP7,REF1,25,Stockholm,2018/11/17 10:59:46,Test_category8
supplier3,688660,department8,8,CC2,P8,EMP0,REF4,25,Skovde,2021/05/11 11:19:28,Test_category8
supplier6,161934,department9,5,CC2,P8,EMP10,REF10,10,Lindkoping,2015/01/31 08:23:57,Test_category0
supplier2,421001,department6,3,CC8,P5,EMP1,REF7,20,Malmo,2022/05/22 09:43:15,Test_category4
supplier4,939181,department9,4,CC7,P4,EMP9,REF9,10,Stockholm,2015/08/03 10:29:44,Test_category8
supplier1,414781,department3,3,CC7,P0,EMP7,REF0,0,Skovde,2021/01/06 08:24:28,Test_category1
supplier4,133572,department2,3,CC2,P2,EMP9,REF9,20,Stockholm,2022/01/22 11:21:07,Test_category2
supplier6,108134,department1,10,CC6,P4,EMP4,REF10,10,Vaxjo,2019/03/08 17:03:37,Test_category2
supplier6,426268,department5,9,CC2,P4,EMP8,REF10,20,Norrkoping,2019/06/21 10:41:44,Test_category4
supplier10,290344,department9,4,CC6,P0,EMP10,REF1,25,Gothenburg,2024/03/21 16:28:59,Test_category9
supplier6,829991,department9,1,CC1,P5,EMP2,REF0,20,Lulea,2015/12/06 12:21:16,Test_category10
supplier8,979955,department4,6,CC5,P10,EMP3,REF7,25,Uppsala,2020/09/28 08:54:08,Test_category10
supplier9,510107,department10,3,CC1,P3,EMP4,REF6,25,Skovde,2015/12/04 08:27:05,Test_category10
supplier1,608671,department9,6,CC0,P8,EMP4,REF1,0,Vaxjo,2020/07/23 09:20:52,Test_category7
supplier3,294285,department2,8,CC4,P3,EMP6,REF1,25,Uppsala,2016/05/19 17:00:54,Test_category3
supplier6,835029,department3,5,CC1,P0,EMP2,REF5,25,Lulea,2023/04/28 14:26:20,Test_category4
supplier2,675538,department6,9,CC2,P10,EMP0,REF5,20,Lulea,2015/05/11 10:40:09,Test_category7
supplier0,754368,department3,1,CC2,P3,EMP0,REF9,25,Stockholm,2019/09/02 15:53:29,Test_category3
supplier10,469537,department8,10,CC10,P8,EMP7,REF6,20,Lulea,2018/11/06 12:25:50,Test_category1
supplier2,179016,department9,7,CC1,P10,EMP3,REF8,20,Norrkoping,2020/08/04 15:42:03,Test_category8
supplier4,781613,department2,6,CC5,P2,EMP8,REF1,10,Lindkoping,2022/12/26 17:11:31,Test_category8
supplier6,538439,department2,5,CC1,P1,EMP10,REF3,25,Malmo,2023/07/07 11:25:56,Test_category5
supplier5,427902,department6,10,CC5,P6,EMP4,REF7,0,Malmo,2022/05/04 10:55:07,Test_category1
supplier10,366808,department5,3,CC5,P8,EMP0,REF2,25,Lindkoping,2023/11/27 10:56:14,Test_category6
supplier8,19458,department2,5,CC6,P6,EMP7,REF9,0,Vaxjo,2017/06/07 09:14:13,Test_category5
supplier10,478721,department2,4,CC8,P4,EMP10,REF8,20,Malmo,2022/07/21 16:34:24,Test_category1
supplier2,556574,department10,3,CC10,P0,EMP5,REF3,20,Uppsala,2016/12/01 15:26:29,Test_category2
supplier1,704716,department4,10,CC7,P9,EMP3,REF10,20,Stockholm,2021/05/14 15:23:17,Test_category10
supplier5,251092,department9,4,CC9,P5,EMP8,REF10,0,Uppsala,2021/09/08 08:14:06,Test_category4
supplier7,217860,department2,9,CC5,P2,EMP3,REF9,25,Vaxjo,2020/10/03 15:20:19,Test_category9
supplier10,21179,department7,6,CC8,P5,EMP4,REF7,10,Stockholm,2024/01/13 08:13:52,Test_category3
supplier7,226216,department0,1,CC3,P5,EMP7,REF3,20,Lulea,2022/10/30 10:44:06,Test_category3
supplier1,374869,department2,8,CC7,P2,EMP0,REF6,10,Uppsala,2022/07/09 14:26:11,Test_category3
supplier8,235807,department6,6,CC9,P8,EMP3,REF8,10,Skovde,2023/08/11 12:56:24,Test_category6
supplier10,799853,department3,8,CC0,P2,EMP8,REF0,25,Vaxjo,2017/09/08 15:24:24,Test_category5
supplier5,537678,department8,9,CC2,P7,EMP7,REF5,25,Gothenburg,2022/09/22 10:06:56,Test_category7
supplier2,138013,department8,10,CC3,P6,EMP3,REF4,10,Gothenburg,2015/12/16 14:21:57,Test_category0
supplier3,224496,department5,7,CC7,P8,EMP8,REF4,0,Lulea,2016/12/13 16:38:31,Test_category10
supplier10,524036,department10,6,CC5,P3,EMP5,REF4,0,Skovde,2020/06/24 15:45:06,Test_category3
supplier9,871459,department10,0,CC7,P2,EMP8,REF6,10,Gothenburg,2023/01/17 17:50:12,Test_category2
supplier3,169091,department10,9,CC6,P6,EMP5,REF9,0,Vaxjo,2021/12/07 10:53:21,Test_category8
supplier8,204591,department3,3,CC4,P6,EMP8,REF4,20,Skovde,2019/10/10 09:44:34,Test_category7
supplier1,912292,department4,1,CC3,P6,EMP7,REF6,20,Gothenburg,2024/11/03 17:26:13,Test_category4
supplier2,710820,department1,0,CC0,P2,EMP5,REF4,20,Norrkoping,2020/04/30 09:02:43,Test_category0
supplier5,231586,department0,8,CC7,P8,EMP2,REF0,0,Malmo,2024/02/01 16:35:46,Test_category8
supplier6,472481,department5,5,CC1,P9,EMP10,REF9,10,Gothenburg,2015/05/13 14:21:08,Test_category8
supplier4,290766,department3,6,CC9,P3,EMP6,REF3,10,Gothenburg,2024/03/19 15:47:03,Test_category9
supplier9,278472,department3,9,CC9,P2,EMP8,REF10,10,Stockholm,2020/10/01 08:33:20,Test_category6
supplier8,922600,department9,5,CC7,P2,EMP1,REF5,25,Sundsvall,2016/02/19 09:40:40,Test_category7
supplier8,403730,department4,10,CC8,P9,EMP6,REF4,0,Norrkoping,2015/05/29 12:41:09,Test_category5
supplier9,345704,department9,6,CC6,P9,EMP6,REF5,0,Gothenburg,2020/07/24 12:56:44,Test_category10
supplier5,857274,department9,8,CC7,P2,EMP9,REF5,0,Sundsvall,2023/09/05 17:16:55,Test_category3
supplier7,755134,department6,4,CC7,P9,EMP6,REF0,25,Lulea,2022/06/29 12:06:37,Test_category2
supplier5,799183,department6,1,CC0,P5,EMP3,REF5,20,Stockholm,2023/01/09 16:35:12,Test_category3
supplier10,893850,department0,5,CC6,P7,EMP7,REF6,20,Sundsvall,2024/02/25 08:30:22,Test_category8
supplier2,497793,department2,6,CC9,P9,EMP0,REF2,0,Lulea,2023/11/07 15:23:11,Test_category10
supplier10,269944,department4,3,CC10,P6,EMP2,REF8,25,Skovde,2024/09/19 15:10:11,Test_category6
supplier7,683493,department1,9,CC8,P3,EMP0,REF5,10,Sundsvall,2025/01/09 16:30:56,Test_category5
supplier0,271180,department3,1,CC10,P6,EMP6,REF3,20,Stockholm,2016/04/13 13:50:18,Test_category10
supplier0,708408,department10,2,CC2,P1,EMP2,REF9,0,Sundsvall,2023/03/31 16:05:54,Test_category9
supplier8,779904,department1,7,CC0,P5,EMP1,REF7,25,Malmo,2016/11/14 16:33:24,Test_category8
supplier6,611151,department3,1,CC10,P3,EMP5,REF6,10,Skovde,2023/08/09 09:38:11,Test_category8
supplier6,160623,department4,9,CC1,P0,EMP9,REF2,20,Norrkoping,2018/02/13 08:57:09,Test_category0
supplier0,190277,department1,5,CC7,P9,EMP6,REF5,10,Lulea,2015/04/08 12:29:45,Test_category6
supplier5,827392,department6,5,CC5,P6,EMP3,REF9,20,Uppsala,2022/05/25 14:19:52,Test_category0
supplier0,393450,department3,8,CC3,P4,EMP7,REF10,25,Malmo,2016/06/20 08:50:18,Test_category0
supplier4,896450,department8,5,CC9,P10,EMP3,REF3,10,Gothenburg,2020/02/21 14:20:58,Test_category6
supplier6,412326,department3,0,CC2,P0,EMP2,REF4,25,Lulea,2023/11/09 11:24:54,Test_category7
supplier6,993003,department5,2,CC5,P4,EMP7,REF3,20,Sundsvall,2018/08/16 11:13:04,Test_category6
supplier6,751884,department10,7,CC9,P5,EMP10,REF3,0,Lindkoping,2019/01/21 16:25:04,Test_category7
supplier4,51540,department2,7,CC6,P10,EMP2,REF4,10,Uppsala,2024/11/26 09:54:36,Test_category1
supplier6,712802,department5,9,CC4,P1,EMP7,REF1,20,Lindkoping,2020/06/08 15:49:24,Test_category5
supplier5,751532,department4,0,CC1,P1,EMP1,REF9,10,Sundsvall,2021/10/29 15:46:41,Test_category7
supplier2,330183,department10,6,CC0,P6,EMP1,REF4,25,Gothenburg,2017/04/08 13:35:27,Test_category10
supplier5,602544,department8,10,CC5,P2,EMP1,REF2,20,Vaxjo,2019/11/13 11:16:01,Test_category1
supplier3,565500,department5,6,CC8,P7,EMP7,REF9,25,Stockholm,2025/01/28 13:58:59,Test_category7
supplier0,910829,department10,7,CC8,P10,EMP6,REF5,20,Vaxjo,2022/09/06 14:28:28,Test_category10
supplier5,925735,department6,9,CC6,P3,EMP10,REF3,20,Uppsala,2019/12/15 15:21:14,Test_category1
supplier5,309008,department9,5,CC2,P1,EMP0,REF7,20,Vaxjo,2020/01/17 16:02:34,Test_category8
supplier3,832310,department2,7,CC0,P4,EMP6,REF2,20,Skovde,2017/01/08 11:35:55,Test_category1
supplier4,718309,department1,5,CC0,P10,EMP4,REF7,0,Lindkoping,2017/08/28 13:24:43,Test_category9
supplier5,457631,department4,5,CC7,P6,EMP8,REF5,0,Malmo,2024/06/13 16:44:49,Test_category8
supplier4,62665,department3,6,CC6,P8,EMP8,REF10,25,Skovde,2023/05/16 14:28:20,Test_category1
supplier6,489655,department7,3,CC9,P8,EMP10,REF10,25,Uppsala,2016/06/05 16:07:13,Test_category4
supplier7,444585,department10,3,CC2,P9,EMP6,REF10,25,Stockholm,2020/03/10 09:37:34,Test_category7
supplier2,899213,department6,5,CC1,P2,EMP3,REF9,0,Norrkoping,2022/05/26 09:38:25,Test_category5
supplier10,808586,department3,1,CC5,P9,EMP8,REF10,10,Malmo,2022/07/16 11:17:16,Test_category4
supplier4,782662,department9,0,CC6,P4,EMP6,REF4,20,Lulea,2015/09/22 10:33:32,Test_category8
supplier0,894409,department6,6,CC0,P10,EMP6,REF5,0,Norrkoping,2018/05/30 11:20:55,Test_category2
supplier1,851872,department0,10,CC8,P8,EMP2,REF2,20,Malmo,2019/07/04 12:08:11,Test_category2
supplier8,518561,department2,9,CC7,P7,EMP6,REF5,25,Sundsvall,2025/01/08 17:41:38,Test_category2
supplier4,207029,department6,4,CC10,P7,EMP0,REF2,20,Uppsala,2018/10/04 14:50:38,Test_category9
